index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,NA
19062,big,384,L,530,0.0,0.3231283859031584,0.0,80,False
19063,big,384,L,540,0.0,0.6279109321958145,0.0,80,False
19064,big,384,L,550,0.0,0.5804089894680733,1.0,80,False
19065,big,384,L,560,0.0,0.5824213077853314,1.0,80,False
19066,big,384,L,570,0.0,0.4696074005132113,1.0,80,False
19067,big,384,L,580,0.0,0.5802793803549253,1.0,80,False
19068,big,384,L,590,0.0,0.5620898295994958,0.0,80,False
19069,big,384,L,600,0.2736150485421223,1.0427719194530891,0.0,80,False
19070,big,384,L,610,0.0516753537585791,0.41326317634788,0.0,80,False
19071,big,384,L,620,0.0518849375459118,0.4067352707547831,0.0,80,False
19072,big,384,L,630,0.0,0.2441281381094511,0.0,80,False
19073,big,384,L,640,0.0,0.1200783388487721,0.0,80,False
19074,big,384,L,650,0.0,0.072122328508565,0.0,80,False
19075,big,384,L,660,0.0,0.072122328508565,0.0,80,False
19076,big,384,L,670,0.0,0.0346540134401153,0.0,80,False
19077,big,384,L,680,0.0,0.0,0.0,80,False
19078,big,384,L,690,0.0,0.4339141741399739,0.0,80,False
19079,big,384,L,700,0.7196847360850676,0.7907624981577571,0.0,80,False
19080,big,384,L,710,0.8824478332274647,0.5533132227938832,1.0,80,False
19081,big,384,L,720,0.4048252701408292,0.9854711799152586,1.0,80,False
19082,big,384,L,730,0.0,0.6879701097888976,1.0,80,False
19083,big,384,L,740,0.0,0.6713670455170382,0.0,80,False
19084,big,384,L,750,0.0,0.670189489358745,0.0,80,False
19085,big,384,L,760,0.3143254738720861,0.8859984701905554,0.0,80,False
19086,big,384,L,770,0.2726264982474254,1.1748756857095302,0.0,80,False
19087,big,384,L,780,0.324542017984846,0.8292821417805367,0.0,80,False
19088,big,384,L,790,0.0868962849591054,0.7232024646387465,0.0,80,False
19089,big,384,L,800,0.0818095368650026,0.5641486734527834,0.0,80,False
19090,big,384,L,810,0.4173502454416926,0.7656827424029152,0.0,80,False
19096,big,385,F,50,0.7560648661810068,1.7389730446929872,1.0,35,False
19097,big,385,F,60,0.8408530400621339,1.396334247187497,1.0,35,False
19098,big,385,F,70,0.5033585314207834,1.7929591976338424,1.0,35,False
19099,big,385,F,80,0.5326583694704579,1.8514472077703568,1.0,35,False
19100,big,385,F,90,0.8222533890506011,1.52724552808231,1.0,35,False
19101,big,385,F,100,1.166625043404207,1.0770032783848034,1.0,35,False
19102,big,385,F,110,0.9207275746821628,1.0785079399831417,1.0,35,False
19103,big,385,F,120,0.7229755134437885,1.3460298066481555,1.0,35,False
19104,big,385,F,130,0.5190023692526052,1.0177176494191835,0.0,35,False
19105,big,385,F,140,0.5299161815950182,1.0860888373631368,0.0,35,False
19106,big,385,F,150,0.5065349928689604,1.0900359415105476,0.0,35,False
19107,big,385,F,160,0.5127000878815423,1.0783392996555483,0.0,35,False
19108,big,385,F,170,0.4939289593960652,1.0356310234947612,0.0,35,False
19109,big,385,F,180,0.7616792887608936,1.0427386482583938,0.0,35,False
19110,big,385,F,190,0.7421103532728155,1.180013520635634,1.0,35,False
19111,big,385,F,200,0.698363720414397,1.0879508889836194,1.0,35,False
19112,big,385,F,210,0.4914969795179602,0.8195080524713239,1.0,35,False
19113,big,385,F,220,0.7903967554499696,1.16691546282444,0.0,35,False
19114,big,385,F,230,0.7525162859072019,1.171061741669705,0.0,35,False
19115,big,385,F,240,0.8545351100748282,1.4933728187443902,0.0,35,False
19116,big,385,F,250,0.8729829057050692,1.4025432023192774,0.0,35,False
19117,big,385,F,260,0.8401257132732286,1.5318441134716425,1.0,35,False
19119,big,385,F,280,0.4040003490680353,1.5526118497289625,1.0,35,False
19121,big,385,F,300,0.5157421939901244,1.4419165566662198,0.0,35,False
19122,big,385,F,310,0.3395465927771849,1.2738643266569951,0.0,35,False
19123,big,385,F,320,0.6321732418524345,1.2475904691948954,0.0,35,False
19124,big,385,F,330,0.637782666649079,1.2299494783101974,0.0,35,False
19125,big,385,F,340,0.7659253560683834,1.4515165153594956,0.0,35,False
19126,big,385,F,350,0.4640794033316976,1.7072520441534584,1.0,35,False
19127,big,385,F,360,0.2895080148134468,1.6422542950208228,1.0,35,False
19128,big,385,F,370,0.3248349121503165,1.5982254829371012,0.0,35,False
19129,big,385,F,380,0.5520897432580172,1.3091522781849412,1.0,35,False
19130,big,385,F,390,0.5518727986056989,1.2871343477050077,1.0,35,False
19131,big,385,F,400,0.3798803648890155,1.3883913033690995,0.0,35,False
