index,Dataset,ID,Condition,Start,transition_entropy,stationary_entropy,event_agg,Condition_hand,trans_mean,stat_mean,transition_entropy_c,stationary_entropy_c
8915,big,193,L,540,0.6447489776633702,0.5805707787238623,0.0,80,0.20823306894003385,0.6693518922038811,0.4365159087233364,-0.08878111348001883
8916,big,193,L,550,0.7758076754097303,0.8287606215238719,1.0,80,0.20823306894003385,0.6693518922038811,0.5675746064696965,0.15940872931999073
8917,big,193,L,560,0.9912715353619668,1.112856978596189,1.0,80,0.20823306894003385,0.6693518922038811,0.783038466421933,0.4435050863923079
8918,big,193,L,570,0.8398949489845273,1.0406576161858665,1.0,80,0.20823306894003385,0.6693518922038811,0.6316618800444935,0.37130572398198536
8919,big,193,L,580,0.474025765354604,0.9188012483751176,1.0,80,0.20823306894003385,0.6693518922038811,0.26579269641457015,0.24944935617123642
8920,big,193,L,590,0.0,0.0,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.6693518922038811
8921,big,193,L,600,0.0,0.6927299889217757,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.023378096717894592
8922,big,193,L,610,0.0,0.4486768284788457,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.22067506372503543
8923,big,193,L,620,0.0,0.2084661802586413,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.46088571194523986
8924,big,193,L,630,0.0,0.6438708226695056,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.025481069534375567
8925,big,193,L,640,0.0,0.5627211062696461,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.10663078593423503
8926,big,193,L,650,0.0,0.5709594696261049,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.09839242257777625
8927,big,193,L,660,0.0,0.159564445383976,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.5097874468199052
8928,big,193,L,670,0.0,0.0,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.6693518922038811
8929,big,193,L,680,0.5787334148930806,0.3644810912379369,0.0,80,0.20823306894003385,0.6693518922038811,0.37050034595304676,-0.3048708009659442
8930,big,193,L,690,0.6530338253689835,1.031664323429227,0.0,80,0.20823306894003385,0.6693518922038811,0.4448007564289496,0.36231243122534595
8931,big,193,L,700,0.7282799033351522,1.352171452129753,0.0,80,0.20823306894003385,0.6693518922038811,0.5200468343951183,0.6828195599258718
8932,big,193,L,710,0.6729576482893549,1.6056703396212408,1.0,80,0.20823306894003385,0.6693518922038811,0.46472457934932104,0.9363184474173597
8933,big,193,L,720,0.5414339556238331,1.906250148451976,1.0,80,0.20823306894003385,0.6693518922038811,0.33320088668379927,1.2368982562480948
8934,big,193,L,730,0.3617404293059681,0.867831186674909,1.0,80,0.20823306894003385,0.6693518922038811,0.15350736036593426,0.19847929447102786
8935,big,193,L,750,0.0,0.0,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.6693518922038811
8936,big,193,L,760,0.0,0.4940307295838222,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.17532116262005892
8937,big,193,L,770,0.0,0.509892085479544,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.15945980672433713
8938,big,193,L,780,0.0,0.6798312737055978,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.010479381501716678
8939,big,193,L,790,0.0,0.6573995487556853,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.011952343448195846
8940,big,193,L,800,0.0,0.6870384536469352,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,0.017686561443054027
8941,big,193,L,810,0.0,0.6006398738876243,0.0,80,0.20823306894003385,0.6693518922038811,-0.20823306894003385,-0.06871201831625684
8947,big,194,I,50,0.7763734615728178,1.7102602716319522,1.0,20,0.4565166739394707,0.9863683915781037,0.31985678763334713,0.7238918800538484
8948,big,194,I,60,0.6988934607182463,1.7604180077296878,1.0,20,0.4565166739394707,0.9863683915781037,0.2423767867787756,0.7740496161515841
8949,big,194,I,70,0.7642023741310138,2.0252613732227043,1.0,20,0.4565166739394707,0.9863683915781037,0.30768570019154307,1.0388929816446004
8950,big,194,I,80,0.9955067031279192,1.9110656274730904,1.0,20,0.4565166739394707,0.9863683915781037,0.5389900291884485,0.9246972358949866
8951,big,194,I,90,1.222250786229092,1.7866536098035204,1.0,20,0.4565166739394707,0.9863683915781037,0.7657341122896212,0.8002852182254167
8952,big,194,I,100,1.1228725279729148,1.5768344936949497,1.0,20,0.4565166739394707,0.9863683915781037,0.6663558540334441,0.5904661021168459
8953,big,194,I,110,0.9680885588763576,1.4303080422203711,1.0,20,0.4565166739394707,0.9863683915781037,0.5115718849368869,0.44393965064226737
8954,big,194,I,120,0.5756808021248581,1.4989491134746509,1.0,20,0.4565166739394707,0.9863683915781037,0.11916412818538735,0.5125807218965471
8955,big,194,I,130,0.5173231287641729,0.5314144082503555,0.0,20,0.4565166739394707,0.9863683915781037,0.06080645482470215,-0.4549539833277483
8956,big,194,I,140,0.0,0.5457683389782315,0.0,20,0.4565166739394707,0.9863683915781037,-0.4565166739394707,-0.4406000525998722
8957,big,194,I,150,0.0,0.6263781691059533,0.0,20,0.4565166739394707,0.9863683915781037,-0.4565166739394707,-0.3599902224721504
8958,big,194,I,160,0.0,0.6473948645381593,0.0,20,0.4565166739394707,0.9863683915781037,-0.4565166739394707,-0.33897352703994443
8959,big,194,I,170,0.3856470453229595,0.8188122305820879,0.0,20,0.4565166739394707,0.9863683915781037,-0.0708696286165112,-0.1675561609960159
8960,big,194,I,180,0.6872087300258789,0.9971947811189552,0.0,20,0.4565166739394707,0.9863683915781037,0.2306920560864082,0.010826389540851467
8961,big,194,I,190,0.5614773687040391,1.7633681013260687,1.0,20,0.4565166739394707,0.9863683915781037,0.10496069476456837,0.776999709747965
8962,big,194,I,200,0.6541936547800625,1.541901702779924,1.0,20,0.4565166739394707,0.9863683915781037,0.19767698084059182,0.5555333112018203
8963,big,194,I,210,0.4868066978228937,1.3605781689644711,1.0,20,0.4565166739394707,0.9863683915781037,0.030290023883423,0.3742097773863674
8964,big,194,I,220,0.3402709850556022,1.140123765279046,0.0,20,0.4565166739394707,0.9863683915781037,-0.11624568888386849,0.15375537370094217
8965,big,194,I,230,0.2493341650841774,0.8963154658934065,0.0,20,0.4565166739394707,0.9863683915781037,-0.2071825088552933,-0.09005292568469725
8966,big,194,I,240,0.2423413256171495,0.737403662988903,0.0,20,0.4565166739394707,0.9863683915781037,-0.2141753483223212,-0.2489647285892007
8967,big,194,I,250,0.2750480891500775,0.7797481006569937,0.0,20,0.4565166739394707,0.9863683915781037,-0.1814685847893932,-0.20662029092111
8968,big,194,I,260,0.1920501699255069,0.743100099732806,1.0,20,0.4565166739394707,0.9863683915781037,-0.2644665040139638,-0.24326829184529775
8970,big,194,I,280,0.3804281448601901,0.5167329217129346,1.0,20,0.4565166739394707,0.9863683915781037,-0.0760885290792806,-0.46963546986516913
8972,big,194,I,300,0.0,0.4179265187717149,0.0,20,0.4565166739394707,0.9863683915781037,-0.4565166739394707,-0.5684418728063889
